Графіті №,табл,Розташування,Опис,Датування,Категорія
265 ,"ХХVІІІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На поверхні фрески подвійними рисками прокреслений малюнок чоти- риконечного хреста, кінці якого розширюються у вигляді трикутників. Перехрестя обведене в коло, яке, подібно розширенням, прикрашене штриховкою. Згадані С. Ви- соцьким літери обабіч хреста відсутні.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
430 ,"ХХХ, 1)7","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На фресці прокреслений чотириконечний хрест, кінці якого розширю- ються у вигляді лілій.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
431 ,"ХХІХ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Незважаючи на пошкодження тиньку, складові напису добре читаються: hyc fuit Albertus Wisensky | anno d--ini 1582 Перед початком першого рядка помітні виконані тим же автором літери АD 1, тобто, a(nno) D(omini) 1 'року Божого 1'. Альберт почав писати дату свого перебу- вання у Святій Софії на рівні першого рядка, але помітивши, що залазить на основний текст, почав писати знову з наступного рядка. З відновленням втрачених фрагментів текст виглядає таким чином: Hyc fuit Albertus Wisensky anno D[om]ini 1582. Був тут Альберт Вісенський року Божого 1582. Особа автора наразі не ідентифікована.","['р', 'датуванням']",['напис']
432 ,"ХХХ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Збереженість напису добра, він чітко читається як ім'я Мар|ко(с) 'Марк'.","['чверть', 'початок', 'ст.', 'формою', 'написання', 'р', 'петлею', 'ІС', 'к']","['Підпис', 'образу']"
433 ,"ХХХ, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Збереженість напису добра, його складові чітко читаються як запис імені Мар|кос 'Марк'.","['чверть', 'початок', 'ст.', 'формою', 'написання', 'криволі-', 'р', 'петлею']","['Підпис', 'образу']"
434 ,"ХХХІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений простий чотириконечний хрест.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
435 ,"ХХХІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений простий чотириконечний хрест.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
436 ,"ХХХІ, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений чотириконечний хрест з розширеними у вигляді заглиблених крапок кінцями.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
437 ,"ХХХІ, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений простий чотириконечний хрест.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
438 ,"ХХХІ, 5","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений чотириконечний хрест з розширеними у вигляді трикутників кінцями.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
439 ,"ХХХІ, 6","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На фресці прокреслений малюнок шестикінечної хризми, причому се- редня риска у верхній частині має розширення у вигляді трикутника.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
440 ,"ХХХІІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На фресці прокреслений малюнок шестикінечного хреста, що склада- ється зі щогли, перекладини та символічної","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
441 ,"ХХХІІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслена літера Ꙁ.,"['чверть', 'початок', 'ст.', 'формою', 'написання', 'розвилкою']","['Абетки', 'склади', 'літери']"
442 ,"ХХХІІ, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута']",На фресці прокреслені літери NW.,"['Кінець', 'ХVІ', 'кінець', 'ст.', 'формою', 'прорізів', 'фактом', 'вжи-', 'вання', 'латиниці']","['Абетки', 'склади', 'літери']"
443 ,"ХХХІІ, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений чотириконечний хрест з розширеними у вигляді трикутників кінцями.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
445 ,"ХХХІІ, 5","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслені чотири вертикальні вигнуті дугою риски.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['Емблеми']
446 ,"ХХХІІІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Трирядковий запис обчислення кількості проведених поминальних служб. У верхньому виконані літери гⷡа текстової частини та шістнадцять вертикальних засічок рахункової. У середньому рядку помітні тринадцять вертикальних засічок, у нижньому – вісімнадцять. Завдяки особливостям скорочення текстової частини мо- жемо встановити, що поминальні служби здійснювались за душу Гавриїла.","['Кінець', 'кінець', 'ст.', 'формою', 'написання', 'спинкою']","['Запис', 'лічби']"
447 ,"ХХХІІІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Трохи нижче простежується літера Н та знак, який нагадує не зовсім вдало виконану Н або . Утім, можлива, хоча й менш вірогідна, її ідентифікація і як Ф з незамкненими в нижній частині петлями або глаголичної літери Ⰰ.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'н', 'перемичкою']","['Абетки', 'склади', 'літери']"
448 ,ХХХІV,"['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Збереженість напису добра, його складові чітко читаються: госъподпо | моꙁрабоусво | емоугавърило | в З розбивкою на слова текст виглядає таким чином: Госъподи помози рабоу своемоу Гаврилови. Господи, поможи рабу своєму Гаврилові.","['Середина', 'ст.', 'формою', 'написання', 'засічкою', 'петлею', 'кутом', 'виступом', 'округлою', 'кутом', 'перемичкою', 'переломом', 'щоглі', 'е', 'переломом', 'пря-', 'р', 'округлою', 'кутом', 'петлею', 'ъ', 'петлею', 'кутом']",['напис']
449 ,"ХХХV, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Поверхня стіни в місці розташування малюнка пошкоджена вибоями та подряпинами, проте в цілому контури малюнка простежуються добре. Тут було про- креслене дерево, на якому знаходиться змій, який обкрутився довкола стовбура. Во- чевидь, сцена має зображати диявола в образі змія-спокусника.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['зображення']
467 ,"ХХХV, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Поверхня стіни в місці розташування напису сильно затерта та пошкод- жена вибоями, тому частина з його складових не простежується: г͠помоꙁрабусво--у | ом---ег З розбивкою на слова та відновленням пропущених фрагментів текст виглядає таким чином: Г(оспод)и помози рабу сво[ем]у Ом[ел]е Г(оспод)и. Господи, поможи рабу своєму Омелі, Господи.","['чверть', 'середина', 'ст.', 'формою', 'написання', 'петлею', 'кутом', 'е', 'переломом', 'кри-', 'р', 'петлею']",['напис']
468 ,"ХХХVІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Трирядковий запис обчислення кількості проведених поминальних служб. У верхньому рядку простежуються літери ІОА текстової частини, далі помітні три- надцять вертикальних засічок рахункової. У середньому рядку збереглось сімнадцять вертикальних засічок, у нижньому – п'ятнадцять. Особливості скорочення дозволя- ють визначити, що заупокійні служби проводились за душу людини на ім'я Йоанн.","['Кінець', 'кінець', 'ст.', 'формою', 'написання', 'за-', 'мість', 'дуги']","['Запис', 'лічби']"
469 ,"ХХХVІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Поверхня стіни в місці розташування графіті затерта та пошкоджена ви- боями, тому закінчення другого рядка не збереглось: г͠помоꙁ | рабоусвоемоудъм-р-- З розбивкою на слова та відновленням пропущених фрагментів текст виглядає таким чином: Г(оспод)и помози рабу своему Дъми[т]р[ию]. Господи, поможи рабу своєму Дмитру.","['Середина', 'середина', 'ст.', 'формою', 'написання', 'петлею', 'ъ', 'петлею', 'кутом', 'е', 'реломом', 'р', 'петлею']",['напис']
470 ,"ХХХVІ, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута']",На фресці прокреслені літери ЛВ.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Абетки', 'склади', 'літери']"
471 ,"ХХХVІІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений простий чотириконечний хрест.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
472 ,"ХХХVІІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Тиньк в місці розташування напису пошкоджений, його закінчення зовсім не збереглось: г͠помо-- Характер пошкоджень тиньку вказує, що втрачено не більше двох-трьох літер, що дозволяє розглядати запис як скорочений варіант традиційної молитовної формули Г(оспод)и помо[зи] 'Господи, поможи'.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'г', 'висту-', 'пом']",['напис']
473 ,"ХХХVІІ, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслена літера А.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Абетки', 'склади', 'літери']"
474 ,"ХХХVІІ, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На фресці помітні виконані у стовпчик літери ПО та М, які слід розгля- дати як незавершений або скорочений запис дієслова-прохання поми{лоуи} 'помилуй'.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'п', 'висту-', 'пом', 'перемичкою']",['напис']
475 ,"ХХХVІІ, 5","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На фресці прокреслений шестикінечний хрест, що складається зі щогли, перекладини та символічної","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
476 ,"ХХХVІІІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Поверхня стіни в місці розташування напису пошкоджена, проте збере- жені складові дозволяють повністю відтворити текст: г͠помо | своеемоу | лгрешънмꙋ | амн З розбивкою на слова текст виглядає таким чином: Г(оспод)и помо(зи) своеемоу Илии грешън(о)мꙋ амин. Господи, поможи своєму Іллі грішному, амінь. Впадає у вічі низка допущених автором помилок та пропущених літер, що видає руку недосвідченого писця.","['чверть', 'чверть', 'ст.', 'формою', 'написання', 'петлею', 'кутом', 'переломом', 'петлями', 'щогли', 'р', 'петлею', 'ш', 'платформою', 'рядком']",['напис']
477 ,"ХХХVІІІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслене слово-звернення Господи 'Господи'.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['напис']
478 ,"ХХХІХ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Незважаючи на пошкодження тиньку довкола напису, його складові добре простежуються: г͠помо | ꙁрабоу | своемоу | мхалов З розбивкою на слова текст виглядає таким чином: Г(оспод)и помози рабоу своемоу Михалови и... Господи, поможи рабу своєму Михайлові та... Рівна поверхня тиньку за останньою літерою свідчить, що графіті залишилось незавершеним.","['Середина', 'кінець', 'ст.', 'формою', 'написання', 'округлою', 'петлею', 'петлею', 'верхню', 'переломом', 'р', 'щоглою']",['напис']
479 ,"ХХХІХ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Тиньк в місці розташування шестирядкового напису сильно пошкодже- ний, права його частина майже повністю знищена: г҃п------- | о-------- | т------- | л-----------г-- | ла---н------- | матаг-------мо-- Через значні пошкодження реконструювати текст не виявляється за можливе, за винятком перших двох слів Г(осподи) п[омози] 'Господи, поможи'.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'видов-', 'спинкою']",['напис']
480 ,"ХХХІХ, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Незважаючи на затертість тиньку, виконані голкою літери читаються до- волі впевнено: г͠помоꙁ З розбивкою на слова текст виглядає таким чином: Г(оспод)и помози. Господи, поможи.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'вертикаль-', 'переломом', 'п', 'виступом']",['напис']
494 ,"ХL, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Складові напису пошкоджені дрібними вибоями, проте в цілому чітко чи- таються: г͠поноꙁ | рабоу | свтаѧ-о | еда- | спсѥне | власю З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: Г(оспод)и понози рабоу и св(ѧ)таѧ [С]оие да[и] сп(а)сѥние Власию. Господи, поможи рабу і свята Софіє, дай спасіння Власію.","['Середина', 'початок', 'ст.', 'формою', 'написання', 'петлею', 'д', 'переломом', 'хвоста', 'р', 'петлею', 'кутом']",['напис']
582 ,"ХL, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці видряпане особове та родове імена автора Andreas Sylewycki 'Андрій Силевицький'. Особу автора наразі не ідентифіковано.,"['Кінець', 'ХVІ', 'кінець', 'ХVIІ', 'ст.', 'формою', 'прорізів', 'фактом', 'вжи-', 'вання', 'латиниці']",['напис']
583 ,"ХL, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Напис сильно пошкоджений № 431, так що від нього залишилось тільки особове ім'я Roman 'Роман' та невиразні фрагменти родового імені.","['Кінець', '1570-х', 'початок', 'рр', 'р', 'особливостями', 'розташування']",['напис']
584 ,"ХLI, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На фресці прокреслений чотириконечний хрест, основа щогли якого спи- рається на відкриту донизу одноступінчасту Голгофу. Вершина, кінці перекладини та середина нижньої частини щогли з'єднані скісними відрізками таким чином, що ут- ворюють ромб. Схожий малюнок хреста вже зустрічався серед графіті Софійського собору, його публікував С. Висоцький78.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
585 ,"ХLI, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",Дуже пошкоджений малюнок відкритої долоні руки.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Символи', 'частинами', 'тіла']"
586 ,"ХLI, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На фресці простежуються дуже пошкоджені літери ГПО та ліва щогла незавершеної або пошкодженої літери М. Тобто, тут знаходиться незавершена тради- ційна молитовна формула Г(оспод)и по{мози} 'Господи, поможи'.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'п', 'висту-', 'пом']",['напис']
587 ,"ХLI, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Напис сильно пошкоджений вибоями та затертий, тож частина його скла- дових не простежується: г͠--о |стме-- З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: Г(оспод)и [пр]ости ме[не]. Господи, прости мене.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'е', 'язичком', 'кутом', 'перемичкою']",['напис']
588 ,"ХLII, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Поверхня стіни в місці розташування графіті сильно пошкоджена, права частина напису втрачена: нау-------- | аꙁъб-га-ы | 79стхъмвоі | мі З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: Нау[мъ грѣхы] азъ б[о]га[т]ыи с(вѧ)т(ы)хъ м҃ воімі. Наум, гріхами я багатий, святих 40 воїнів. Оскільки напис не мiстить дієслова-прохання, то можна зробити висновок, що він, найвірогідніше, залишився незавершеним.","['Кінець', 'кінець', 'ст.', 'формою', 'написання', 'спинкою', 'переломом']",['напис']
589 ,"ХLII, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Запис обчислення кількості проведених поминальних служб, що склада- ється з малюнку хреста на початку рядка та двадцяти чотирьох видимих вертикальних засічок рахункової частини.","['Кінець', 'кінець', 'ст.', 'методом']","['Запис', 'лічби', 'крапок', 'характер']"
590 ,"ХLII, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Складові напису сильно пошкоджені подряпинами та вибоями, проте в цілому простежуються добре: охъм҃про | стмѧкъ | съмоуохъ З розбивкою на слова текст виглядає таким чином: Охъ м҃ прости мѧ Късъмоу охъ. Ох, сороковиця, прости мене, Кузьму, ох.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'п', 'тупом', 'р', 'петлею', 'кутом']",['напис']
591 ,"ХLII, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Складові напису сильно пошкоджені подряпинами та вибоями, збереглась тільки частина з них в кінці рядка, що може бути прочитана як слово мещан 'міщан'.","['Кінець', 'кінець', 'ст.', 'формами', 'написання', 'літер', 'формою', 'прорізів']","['Фрагмент', 'напису']"
592 ,"ХLIІI, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Напис практично повністю знищений, у верхньому рядку помітні літери ПР, у середньому – В, у нижньому – В та, на деякій відстані, А. Розміри літер в написі поступово збільшуються.","['Середина', 'чверть', 'ст.', 'формою', 'написання', 'петлею', 'р', 'петлею']","['Фрагмент', 'напису']"
593 ,"ХLIІI, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Збереженість напису доволі добра, вибоями знищені тільки дві літери в передостанньому рядку: г͠помо | ꙁ | нетⷭо-- | в З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: Г(оспод)и помози Несто[ро]ви. Господи, поможи Несторові.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'висту-', 'пом', 'е', 'язичком', 'Ъ', 'засічками']",['напис']
594 ,"ХLIV, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Неподалік від запису № 591, але на деякій відстані, прокреслені скоро- писні літери ꙌНІЖВ, далі знаходиться пошкоджена літера, за якою помітна И. За нею тиньк пошкоджений, тож тут, найвірогідніше, могли знаходитись й інші літери. Через значні втрати реконструкція тексту неможлива.","['Кінець', 'ХVІ', 'кінець', 'ст.', 'формами', 'написання', 'літер', 'формою', 'прорізів']","['Фрагмент', 'напису']"
595 ,"ХLIV, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Поверхня стіни в місці розташування напису сильно затерта, простежу- ються тільки невелика частина його складових: г͠по---- | м--------- Зважаючи на втрати, реконструювати можна тільки початок фрази Г(оспод)и по[моз]и 'Господи, поможи'.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'перемичкою', 'структурою', 'формули']",['напис']
596 ,"ХLIV, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Напис практично повністю знищений. У верхньому рядку простежуються літера , у нижньому – ВЪ.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'висту-', 'пом', 'переломом', 'щогли', 'петлями']","['Фрагмент', 'напису']"
597 ,"ХLIV, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На поверхні фрески помітні літери ꙌА. Зважаючи на наявність титла та вибоїну перед першою літерою, текст найвірогідніше реконструювати як запис імені [І]ꙍа(нъ) 'Йоанн'.","['Середина', 'кінець', 'ст.', 'формою', 'написання', 'петлею', 'спинкою']",['напис']
598 ,"ХLIV, 5","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці виконаний малюнок простого чотириконечного хреста.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
599 ,"ХLV, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","На фресці виконані три фігури, які нагадують різні варіанти орнаментів.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['Емблеми']
600 ,"ХLV, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслена літера Г.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Абетки', 'склади', 'літери']"
600а ,"ХLV, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений простий чотириконечний хрест.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми', 'Графіті', 'фресці', 'зображенням', 'Анфіма', 'Фреска', 'куті', 'Образ', 'іден-', 'написам', 'графіті', ""ім'я"", '№', '№', '№', 'частині', 'фреска', 'сліди', 'ремонту', 'тиньк', 'ст.', 'місці', 'вставка', 'складом', 'тиньку', 'апсиди', 'ст.', 'час', 'будівництва', 'апсиди', 'фреска', 'майстри', 'тиньк', 'Графіті', 'ділянці', 'стіни', 'номери']"
481 ,"ХLV, 5","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений простий чотириконечний хрест.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
482 ,"ХLV, 6","['Висота', 'підлоги', 'см', 'відстань', 'кута']","На фресці прокреслений квадрат, розділений хрестом на чотири рівні час- тини, в кожній з яких прокреслена крапка.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['Емблеми']
498 ,"ХLV, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Незважаючи на пошкодження тиньку, на фресці читається запис особо- вого та родового імен автора: Stanislaw Jagocki 'Станіслав Ягоцький'. Відомостей про автора напису розшукати не вдалося, представники родини, зок- рема, смоленський чашник Казимир Ягоцький, згадуються з кінця XVII ст. (1688 р.)83.","['Кінець', 'ХVІ', 'кінець', 'ст.', 'формою', 'прорізів', 'фактом', 'вжи-', 'вання', 'латиниці']",['напис']
499 ,"ХLVI, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Незважаючи на пошкодження тиньку, на фресці чітко простежується ви- конаний у чотири рядки підпис до фрескового образу – о агос Анмос 'святий Анфім'.","['Середина', 'початок', 'ст.', 'формою', 'написання', 'вигляду']","['Підпис', 'образу']"
500 ,"ХLVI, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці досить великими літерами виконаний напис: пом-н | ст- | ан | мос З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином Пом[ѧ]ни с(вѧ)ты[и] Анимос. Помяни святий Анфім.,"['чверть', 'кінець', 'ст.', 'формою', 'написання', 'н', 'діаго-', 'н', 'перемичкою', 'перемички']",['напис']
501 ,"ХLVІI, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",На фресці прокреслений простий чотириконечний хрест.,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
543 ,"ХLVI, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Початок та закінчення напису не збереглись, простежується тільки се- редня його частина, яка реконструюється як слово-звернення [Гос]под[и] 'Господи'.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'хої', 'д', 'ніжках', 'стороною', 'дуги']",['напис']
544 ,"ХLVІIІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",,"['Середина', 'кінець', 'ст.', 'формою', 'написання', 'е', 'язичком', 'перемичкою', 'р', 'петлею', 'кутом', 'структурою', 'формули']",['напис']
545 ,"ХLVІI, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",,"['чверть', 'кінець', 'ст.', 'формою', 'написання', 'перемичкою', 'структурою', 'формули']",['напис']
546 ,"ХLVІI, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['зображення']
547 ,"ХLVІI, 4","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['зображення']
548 ,"ХLVІI, 5","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",,"['чверть', 'ст.', 'формою', 'написання', 'петлею', 'кутом']","['Абетки', 'склади', 'літери']"
549 ,"ХLIХ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']",['зображення']
550 ,"ХLVІI, 6","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Малюнок дуже пошкоджений, в цілому він має обриси погрудного зоб- раження людини. Вірогідно, автор прагнув зобразити святого.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Зображення', 'ангелів']"
551 ,"ХLVІІI, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']",,"['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Зображення', 'ангелів']"
552 ,"ХLIХ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Закінчення напису не збереглось через вибій, проте збережені складові дозволяють реконструювати слово-звернення Госпо[ди] 'Господи'.","['Кінець', 'кінець', 'ст.', 'формами', 'написання', 'літер', 'формою', 'прорізів']",['напис']
553 ,"L, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Поверхня стіни в місці розташування напису сильно пошкоджена ви- боями, внаслідок чого більша частина складових знищена: г͠по--ꙁраб- | своемум--ъку-- | оуп--ѧн-- З розбивкою на слова та відновленням втрачених фрагментів текст можна пред- ставити таким чином: Г(оспод)и по[мо]зи раб[у] своему М[ер]ъку[ри]оу и п[ом]ѧни {мѧ} [Г](оспод)и. Господи, поможи рабу своєму Меркурію та пом'яни мене, Господи.","['чверть', 'початок', 'ст.', 'формою', 'написання', 'видов-', 'спинкою', 'в', 'петля', 'е', 'р', 'петлею', 'кутом', 'періоду', 'ознак', 'літера', 'петлю', 'заломами', 'наслідок', 'конання', 'літери', 'автором', 'напису']",['напис']
554 ,"L, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Складові напису пошкоджені, проте збереженість їх відносно добра, вони читаються як дієслово-прохання помѧни 'пом'яни'.","['Середина', 'кінець', 'ст.', 'формою', 'написання', 'перемичкою', 'формою', 'прорізів']",['напис']
555 ,"L, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Початок напису знищений обвалом тиньку, наявні чотири літери можна реконструювати як молитовне звернення [помѧ]ни Г(оспод)и 'пом'яни, Господи'.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'г', 'висту-', 'пом']",['напис']
556 ,"LІ, 1","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Закінчення напису знищене обвалом тиньку, наявні три літери можна ре- конструювати як молитовне звернення Г(оспод)и п[омози] 'Господи, поможи'.","['чверть', 'кінець', 'ст.', 'формою', 'написання', 'г', 'висту-', 'пом']",['напис']
557 ,"LІ, 2","['Висота', 'підлоги', 'см', 'відстань', 'кута']","Малюнок пошкоджений вибоями, проте можна встановити, що тут по- двійними замкненими рисками був прокреслений чотириконечний хрест.","['чверть', 'кінець', 'ст.', 'формою', 'прорізів']","['Хрести', 'монограми', 'теонімограми']"
558 ,"LІ, 3","['Висота', 'підлоги', 'см', 'відстань', 'кута', 'см']","Права частина напису знищена обвалом тиньку: ст͠нк----------- | ꙁараба------------- З розбивкою на слова та відновленням втрачених фрагментів текст можна ре- конструювати таким чином: С(вѧ)ты(и) Ники[форе] {моли Бога} за раба... Святий Никифоре, моли Бога за раба... Прикметне, що автор звертається з проханням молитовної допомоги до святого Никифора, у той час як на фресці зображений св. Анфім. Ймовірно, він міг сплутати схожі зовні образи цих святих. Це означає, що на час виконання графіті дипінті, яке називало ім'я святого, вже не простежувалось.","['чверть', 'початок', 'ст.', 'формою', 'написання', 'петлею', 'виступом', 'переломом', 'перемички']",['напис']
