Графіті №,табл,Розташування,Опис,Датування,Категорія
147 ,"ХХVІІІ, 1","Висота від сучасної підлоги 57 см, відстань від лівого кута 56 см.","Збереженість напису добра, його складові чітко читаються: г͠помъꙁрабоу | своѥмоугрго | рѥв✠ З розбивкою на слова текст виглядає таким чином: Г(оспод)и помъзи рабоу своѥмоу Григориеви. Господи, поможи рабу своєму Григорієві.","Середина ХІІ – остання чверть ХІІІ ст.; за формою написання дзер- кальної а, и та у з покриттям, б та в з виступами зверху, и та ѥ з верхніми та нижніми за- січками, м з верхніми засічками, криволінійної р з петлею кутом донизу, у з пересічкою64.",Молитовний напис.
152 ,"ХХІХ, 1","Висота від сучасної підлоги 85 см, відстань від лівого кута 4 см.","Напис знаходиться маже біля кута стіни, де в стовпчик було виконано кілька текстів, тому це графіті, яке збереглось порівняно з іншими краще, було відді- лено горизонтальними рисками зверху та знизу: преста | вис- | рабъ66бо67 | жлазо | р68ъмцⷭа | оунѧ | въ6҃9дь70 | нь71 З розбивкою на слова та відновленням втраченого фрагмента текст виглядає таким чином: Преставис[ѧ] рабъ Божии Лазоръ м(ѣ)с(ѧ)ца иоунѧ въ ҃ дьнь. Приставився раб Божий Лазорь місяця червня у 9-й день.","Друга чверть ХІІ – початок ХІІІ ст.; за формою написання дзер- кальної а з опуклою петлею, б з виступом зверху, А-подібної д, нахиленої праворуч з із переломом72.",Пам'ятний напис.
265 ,"ХХVІІІ, 2","Висота від сучасної підлоги 86 см, відстань від лівого кута 16 см.","На поверхні фрески подвійними рисками прокреслений малюнок чоти- риконечного хреста, кінці якого розширюються у вигляді трикутників. Перехрестя обведене в коло, яке, подібно розширенням, прикрашене штриховкою. Згадані С. Ви- соцьким літери обабіч хреста відсутні.",Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
430 ,"ХХХ, 1)7","Висота від сучасної підлоги 78 см, відстань від лівого кута 67,5 см.","На фресці прокреслений чотириконечний хрест, кінці якого розширю- ються у вигляді лілій.",Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
431 ,"ХХІХ, 2","Висота від сучасної підлоги 113 см, відстань від лівого кута 46 см.","Незважаючи на пошкодження тиньку, складові напису добре читаються: hyc fuit Albertus Wisensky | anno d--ini 1582 Перед початком першого рядка помітні виконані тим же автором літери АD 1, тобто, a(nno) D(omini) 1 'року Божого 1'. Альберт почав писати дату свого перебу- вання у Святій Софії на рівні першого рядка, але помітивши, що залазить на основний текст, почав писати знову з наступного рядка. З відновленням втрачених фрагментів текст виглядає таким чином: Hyc fuit Albertus Wisensky anno D[om]ini 1582. Був тут Альберт Вісенський року Божого 1582. Особа автора наразі не ідентифікована.",1582 р.; за прямим датуванням.,Пам'ятний напис.
432 ,"ХХХ, 2","Висота від сучасної підлоги 116 см, відстань від лівого кута 64 см.","Збереженість напису добра, він чітко читається як ім'я Мар|ко(с) 'Марк'.",Друга чверть ХІ – початок ХІV ст.; за формою написання прямолі- нійної р з округлою петлею та ІС-подібної к.,Підпис до фрескового образу.
433 ,"ХХХ, 3","Висота від сучасної підлоги 97 см, відстань від лівого кута 62 см.","Збереженість напису добра, його складові чітко читаються як запис імені Мар|кос 'Марк'.",Друга чверть ХІ – початок ХІV ст.; за формою написання криволі- нійної р з округлою петлею.,Підпис до фрескового образу.
434 ,"ХХХІ, 1","Висота від сучасної підлоги 95 см, відстань від лівого кута 62 см.",На фресці прокреслений простий чотириконечний хрест.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
435 ,"ХХХІ, 2","Висота від сучасної підлоги 61 см, відстань від лівого кута 48 см.",На фресці прокреслений простий чотириконечний хрест.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
436 ,"ХХХІ, 3","Висота від сучасної підлоги 49 см, відстань від лівого кута 9,5 см.",На фресці прокреслений чотириконечний хрест з розширеними у вигляді заглиблених крапок кінцями.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
437 ,"ХХХІ, 4","Висота від сучасної підлоги 19 см, відстань від лівого кута 44 см.",На фресці прокреслений простий чотириконечний хрест.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
438 ,"ХХХІ, 5","Висота від сучасної підлоги 63 см, відстань від лівого кута 68 см.",На фресці прокреслений чотириконечний хрест з розширеними у вигляді трикутників кінцями.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
439 ,"ХХХІ, 6","Висота від сучасної підлоги 53 см, відстань від лівого кута 45 см.","На фресці прокреслений малюнок шестикінечної хризми, причому се- редня риска у верхній частині має розширення у вигляді трикутника.",Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
440 ,"ХХХІІ, 1","Висота від сучасної підлоги 98 см, відстань від лівого кута 49,5 см.","На фресці прокреслений малюнок шестикінечного хреста, що склада- ється зі щогли, перекладини та символічної",Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
441 ,"ХХХІІ, 2","Висота від сучасної підлоги 99 см, відстань від лівого кута 65 см.",На фресці прокреслена літера Ꙁ.,Друга чверть ХІ – початок ХІV ст.; за формою написання нахиленої праворуч з із розвилкою.,"Абетки, склади та окремі літери."
442 ,"ХХХІІ, 3","Висота від сучасної підлоги 107 см, відстань від лівого кута",На фресці прокреслені літери NW.,Кінець ХVІ – кінець ХVІІ ст.; за формою прорізів та фактом вжи- вання латиниці.,"Абетки, склади та окремі літери."
443 ,"ХХХІІ, 4","Висота від сучасної підлоги 58 см, відстань від лівого кута 68 см.",На фресці прокреслений чотириконечний хрест з розширеними у вигляді трикутників кінцями.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
445 ,"ХХХІІ, 5","Висота від сучасної підлоги 48 см, відстань від лівого кута 67 см.",На фресці прокреслені чотири вертикальні вигнуті дугою риски.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,Емблеми.
446 ,"ХХХІІІ, 1","Висота від сучасної підлоги 88 см, відстань від лівого кута 64 см.","Трирядковий запис обчислення кількості проведених поминальних служб. У верхньому виконані літери гⷡа текстової частини та шістнадцять вертикальних засічок рахункової. У середньому рядку помітні тринадцять вертикальних засічок, у нижньому – вісімнадцять. Завдяки особливостям скорочення текстової частини мо- жемо встановити, що поминальні служби здійснювались за душу Гавриїла.",Кінець ХІ – кінець ХІІ ст.; за формою написання а з видовженою вгору спинкою.,Запис лічби.
447 ,"ХХХІІІ, 2","Висота від сучасної підлоги 68 см, відстань від лівого кута 64 см.","Трохи нижче простежується літера Н та знак, який нагадує не зовсім вдало виконану Н або . Утім, можлива, хоча й менш вірогідна, її ідентифікація і як Ф з незамкненими в нижній частині петлями або глаголичної літери Ⰰ.",Друга чверть ХІ – кінець ХV ст.; за формою написання н з діаго- нальною перемичкою.,"Абетки, склади та окремі літери."
448 ,ХХХІV,"Висота від сучасної підлоги 126 см, відстань від лівого кута 65 см.","Збереженість напису добра, його складові чітко читаються: госъподпо | моꙁрабоусво | емоугавърило | в З розбивкою на слова текст виглядає таким чином: Госъподи помози рабоу своемоу Гаврилови. Господи, поможи рабу своєму Гаврилові.","Середина ХІІ ст.; за формою написання а з верхньою засічкою, б з петлею кутом вперед та виступом зверху, в з округлою або кутом вперед перемичкою з переломом при щоглі, нахиленої ліворуч е, нахиленої праворуч з із переломом, пря- молінійної р з округлою або кутом вперед петлею, ъ з петлею кутом вперед.",Молитовний напис.
449 ,"ХХХV, 1","Висота від сучасної підлоги 33 см, відстань від лівого кута 62 см.","Поверхня стіни в місці розташування малюнка пошкоджена вибоями та подряпинами, проте в цілому контури малюнка простежуються добре. Тут було про- креслене дерево, на якому знаходиться змій, який обкрутився довкола стовбура. Во- чевидь, сцена має зображати диявола в образі змія-спокусника.",Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,Сюжетні зображення.
467 ,"ХХХV, 2","Висота від сучасної підлоги 54 см, відстань від лівого кута 58 см.","Поверхня стіни в місці розташування напису сильно затерта та пошкод- жена вибоями, тому частина з його складових не простежується: г͠помоꙁрабусво--у | ом---ег З розбивкою на слова та відновленням пропущених фрагментів текст виглядає таким чином: Г(оспод)и помози рабу сво[ем]у Ом[ел]е Г(оспод)и. Господи, поможи рабу своєму Омелі, Господи.","Друга чверть ХІ – середина ХІІ ст.; за формою написання б та в з петлею кутом вперед, нахиленої праворуч е, нахиленої праворуч з із переломом, кри- волінійної р з маленькою петлею.",Молитовний напис.
468 ,"ХХХVІ, 1","Висота від сучасної підлоги 107 см, відстань від лівого кута 65 см.","Трирядковий запис обчислення кількості проведених поминальних служб. У верхньому рядку простежуються літери ІОА текстової частини, далі помітні три- надцять вертикальних засічок рахункової. У середньому рядку збереглось сімнадцять вертикальних засічок, у нижньому – п'ятнадцять. Особливості скорочення дозволя- ють визначити, що заупокійні служби проводились за душу людини на ім'я Йоанн.",Кінець ХІІІ – кінець ХІV ст.; за формою написання о з прямою за- мість дуги.,Запис лічби.
469 ,"ХХХVІ, 2","Висота від сучасної підлоги 63 см, відстань від лівого кута 57 см.","Поверхня стіни в місці розташування графіті затерта та пошкоджена ви- боями, тому закінчення другого рядка не збереглось: г͠помоꙁ | рабоусвоемоудъм-р-- З розбивкою на слова та відновленням пропущених фрагментів текст виглядає таким чином: Г(оспод)и помози рабу своему Дъми[т]р[ию]. Господи, поможи рабу своєму Дмитру.","Середина ХІ – середина ХІІ ст.; за формою написання а з округлою петлею, б, в та ъ з петлею кутом вперед, вертикальної е, нахиленої праворуч з із пе- реломом, прямолінійної р з округлою петлею.",Молитовний напис.
470 ,"ХХХVІ, 3","Висота від сучасної підлоги 60,5 см, відстань від лівого кута",На фресці прокреслені літери ЛВ.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Абетки, склади та окремі літери."
471 ,"ХХХVІІ, 1","Висота від сучасної підлоги 90 см, відстань від лівого кута 34 см.",На фресці прокреслений простий чотириконечний хрест.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
472 ,"ХХХVІІ, 2","Висота від сучасної підлоги 92 см, відстань від лівого кута 38 см.","Тиньк в місці розташування напису пошкоджений, його закінчення зовсім не збереглось: г͠помо-- Характер пошкоджень тиньку вказує, що втрачено не більше двох-трьох літер, що дозволяє розглядати запис як скорочений варіант традиційної молитовної формули Г(оспод)и помо[зи] 'Господи, поможи'.",Друга чверть ХІ – кінець ХІV ст.; за формою написання г з висту- пом зверху.,Молитовний напис.
473 ,"ХХХVІІ, 3","Висота від сучасної підлоги 78,5 см, відстань від лівого кута 51 см.",На фресці прокреслена літера А.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Абетки, склади та окремі літери."
474 ,"ХХХVІІ, 4","Висота від сучасної підлоги 91 см, відстань від лівого кута 10,5 см.","На фресці помітні виконані у стовпчик літери ПО та М, які слід розгля- дати як незавершений або скорочений запис дієслова-прохання поми{лоуи} 'помилуй'.",Друга чверть ХІ – кінець ХІІІ ст.; за формою написання п з висту- пом зверху та и з горизонтальною перемичкою.,Молитовний напис.
475 ,"ХХХVІІ, 5","Висота від сучасної підлоги 51 см, відстань від лівого кута 19 см.","На фресці прокреслений шестикінечний хрест, що складається зі щогли, перекладини та символічної",Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
476 ,"ХХХVІІІ, 1","Висота від сучасної підлоги 80 см, відстань від лівого кута 42 см.","Поверхня стіни в місці розташування напису пошкоджена, проте збере- жені складові дозволяють повністю відтворити текст: г͠помо | своеемоу | лгрешънмꙋ | амн З розбивкою на слова текст виглядає таким чином: Г(оспод)и помо(зи) своеемоу Илии грешън(о)мꙋ амин. Господи, поможи своєму Іллі грішному, амінь. Впадає у вічі низка допущених автором помилок та пропущених літер, що видає руку недосвідченого писця.","Друга чверть ХІ – друга чверть ХІІ ст.; за формою написання в з петлею кутом вперед та переломом з петлями, що не торкаються щогли, прямоліній- ної р з округлою петлею та ш з платформою над рядком.",Молитовний напис.
477 ,"ХХХVІІІ, 2","Висота від сучасної підлоги 130 см, відстань від лівого кута 5 см.",На фресці прокреслене слово-звернення Господи 'Господи'.,Друга чверть ХІ – кінець ХVІ ст.; за формою прорізів.,Молитовний напис.
478 ,"ХХХІХ, 1","Висота від сучасної підлоги 71 см, відстань від лівого кута 3,5 см.","Незважаючи на пошкодження тиньку довкола напису, його складові добре простежуються: г͠помо | ꙁрабоу | своемоу | мхалов З розбивкою на слова текст виглядає таким чином: Г(оспод)и помози рабоу своемоу Михалови и... Господи, поможи рабу своєму Михайлові та... Рівна поверхня тиньку за останньою літерою свідчить, що графіті залишилось незавершеним.","Середина ХІ – кінець ХІІ ст.; за формою написання а з округлою чи опуклою петлею, в з округлою нижньою петлею, яка менша за верхню, нахиленої праворуч з із переломом, р із S-подібною щоглою.",Молитовний напис.
479 ,"ХХХІХ, 2","Висота від сучасної підлоги 107 см, відстань від лівого кута 4 см.","Тиньк в місці розташування шестирядкового напису сильно пошкодже- ний, права його частина майже повністю знищена: г҃п------- | о-------- | т------- | л-----------г-- | ла---н------- | матаг-------мо-- Через значні пошкодження реконструювати текст не виявляється за можливе, за винятком перших двох слів Г(осподи) п[омози] 'Господи, поможи'.",Друга чверть ХІ – кінець ХІІ ст.; за формою написання а з видов- женою спинкою.,Молитовний напис.
480 ,"ХХХІХ, 3","Висота від сучасної підлоги 71 см, відстань від лівого кута 49 см.","Незважаючи на затертість тиньку, виконані голкою літери читаються до- волі впевнено: г͠помоꙁ З розбивкою на слова текст виглядає таким чином: Г(оспод)и помози. Господи, поможи.",Друга чверть ХІ – кінець ХІІІ ст.; за формою написання вертикаль- ної з із переломом та п з виступом зверху.,Молитовний напис.
494 ,"ХL, 1","Висота від сучасної підлоги 97 см, відстань від лівого кута 4 см.","Складові напису пошкоджені дрібними вибоями, проте в цілому чітко чи- таються: г͠поноꙁ | рабоу | свтаѧ-о | еда- | спсѥне | власю З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: Г(оспод)и понози рабоу и св(ѧ)таѧ [С]оие да[и] сп(а)сѥние Власию. Господи, поможи рабу і свята Софіє, дай спасіння Власію.","Середина ХІІ – початок ХІІІ ст.; за формою написання б з округлою петлею, А-подібної д, вертикальної з із переломом хвоста та прямолінійної р з петлею кутом догори.",Молитовний напис.
582 ,"ХL, 2","Висота від сучасної підлоги 100 см, відстань від лівого кута 35 см.",На фресці видряпане особове та родове імена автора Andreas Sylewycki 'Андрій Силевицький'. Особу автора наразі не ідентифіковано.,Кінець ХVІ – кінець ХVIІ ст.; за формою прорізів та фактом вжи- вання латиниці.,Пам'ятний напис.
583 ,"ХL, 3","Висота від сучасної підлоги 112 см, відстань від лівого кута 27 см.","Напис сильно пошкоджений № 431, так що від нього залишилось тільки особове ім'я Roman 'Роман' та невиразні фрагменти родового імені.",Кінець 1570-х – початок 1580-х рр. (до 1582 р.); за особливостями розташування.,Пам'ятний напис.
584 ,"ХLI, 1","Висота від сучасної підлоги 41 см, відстань від лівого кута 48 см.","На фресці прокреслений чотириконечний хрест, основа щогли якого спи- рається на відкриту донизу одноступінчасту Голгофу. Вершина, кінці перекладини та середина нижньої частини щогли з'єднані скісними відрізками таким чином, що ут- ворюють ромб. Схожий малюнок хреста вже зустрічався серед графіті Софійського собору, його публікував С. Висоцький78.",Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
585 ,"ХLI, 2","Висота від сучасної підлоги 34 см, відстань від лівого кута 41 см.",Дуже пошкоджений малюнок відкритої долоні руки.,Друга чверть ХІ – кінець XVI ст.; за формою прорізів.,"Символи, пов'язані з частинами людського тіла."
586 ,"ХLI, 3","Висота від сучасної підлоги 34 см, відстань від лівого кута 49 см.","На фресці простежуються дуже пошкоджені літери ГПО та ліва щогла незавершеної або пошкодженої літери М. Тобто, тут знаходиться незавершена тради- ційна молитовна формула Г(оспод)и по{мози} 'Господи, поможи'.",Друга чверть ХІ – кінець XІІI ст.; за формою написання п з висту- пом зверху.,Молитовний напис.
587 ,"ХLI, 4","Висота від сучасної підлоги 27 см, відстань від лівого кута 35 см.","Напис сильно пошкоджений вибоями та затертий, тож частина його скла- дових не простежується: г͠--о |стме-- З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: Г(оспод)и [пр]ости ме[не]. Господи, прости мене.",Друга чверть ХІІ – кінець XV ст.; за формою написання е з язичком кутом донизу та и з горизонтальною перемичкою.,Молитовний напис.
588 ,"ХLII, 1","Висота від сучасної підлоги 32 см, відстань від лівого кута 23 см.","Поверхня стіни в місці розташування графіті сильно пошкоджена, права частина напису втрачена: нау-------- | аꙁъб-га-ы | 79стхъмвоі | мі З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: Нау[мъ грѣхы] азъ б[о]га[т]ыи с(вѧ)т(ы)хъ м҃ воімі. Наум, гріхами я багатий, святих 40 воїнів. Оскільки напис не мiстить дієслова-прохання, то можна зробити висновок, що він, найвірогідніше, залишився незавершеним.","Кінець ХІ – кінець XІІ ст.; за формою написання а з видовженою вгору спинкою, вертикальної з із переломом та V-подібної у.",Молитовний напис.
589 ,"ХLII, 2","Висота від сучасної підлоги 40 см, відстань від лівого кута 48 см.","Запис обчислення кількості проведених поминальних служб, що склада- ється з малюнку хреста на початку рядка та двадцяти чотирьох видимих вертикальних засічок рахункової частини.",Кінець ХІ – кінець XІV ст.; за типологічним методом.,"Запис лічби. ""крапок"" дозволило встановити їх випадковий характер."
590 ,"ХLII, 3","Висота від сучасної підлоги 27 см, відстань від лівого кута 45 см.","Складові напису сильно пошкоджені подряпинами та вибоями, проте в цілому простежуються добре: охъм҃про | стмѧкъ | съмоуохъ З розбивкою на слова текст виглядає таким чином: Охъ м҃ прости мѧ Късъмоу охъ. Ох, сороковиця, прости мене, Кузьму, ох.",Остання чверть ХІІ – кінець XІІІ ст.; за формою написання п з вис- тупом та прямолінійної р з петлею кутом донизу.,Молитовний напис.
591 ,"ХLII, 4","Висота від сучасної підлоги 56,5 см, відстань від лівого кута 36 см.","Складові напису сильно пошкоджені подряпинами та вибоями, збереглась тільки частина з них в кінці рядка, що може бути прочитана як слово мещан 'міщан'.",Кінець XV – кінець XVI ст.; за скорописними формами написання літер та формою прорізів.,Фрагмент напису.
592 ,"ХLIІI, 1","Висота від сучасної підлоги 59 см, відстань від лівого кута 4 см.","Напис практично повністю знищений, у верхньому рядку помітні літери ПР, у середньому – В, у нижньому – В та, на деякій відстані, А. Розміри літер в написі поступово збільшуються.",Середина XІ – перша чверть XІV ст.; за формою написання а з ок- руглою петлею та прямолінійної р з округлою петлею.,Фрагмент напису.
593 ,"ХLIІI, 2","Висота від сучасної підлоги 52 см, відстань від лівого кута 4 см.","Збереженість напису доволі добра, вибоями знищені тільки дві літери в передостанньому рядку: г͠помо | ꙁ | нетⷭо-- | в З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином: Г(оспод)и помози Несто[ро]ви. Господи, поможи Несторові.","Друга чверть ХІІ – кінець XІІІ ст.; за формою написання в з висту- пом зверху, е з язичком донизу, Ъ-подібної з та и з довгими засічками.",Молитовний напис.
594 ,"ХLIV, 1","Висота від сучасної підлоги 57 см, відстань від лівого кута 41 см.","Неподалік від запису № 591, але на деякій відстані, прокреслені скоро- писні літери ꙌНІЖВ, далі знаходиться пошкоджена літера, за якою помітна И. За нею тиньк пошкоджений, тож тут, найвірогідніше, могли знаходитись й інші літери. Через значні втрати реконструкція тексту неможлива.",Кінець ХVІ – кінець XVII ст.; за скорописними формами написання літер та формою прорізів.,Фрагмент напису.
595 ,"ХLIV, 2","Висота від сучасної підлоги 57 см, відстань від лівого кута 21 см.","Поверхня стіни в місці розташування напису сильно затерта, простежу- ються тільки невелика частина його складових: г͠по---- | м--------- Зважаючи на втрати, реконструювати можна тільки початок фрази Г(оспод)и по[моз]и 'Господи, поможи'.",Друга чверть ХІ – кінець XV ст.; за формою написання и з гори- зонтальною перемичкою та за структурою формули.,Молитовний напис.
596 ,"ХLIV, 3","Висота від сучасної підлоги 38 см, відстань від лівого кута 30 см.","Напис практично повністю знищений. У верхньому рядку простежуються літера , у нижньому – ВЪ.",Друга чверть ХІ – кінець XІІІ ст.; за формою написання в з висту- пом зверху та переломом з неторкаючимися до щогли петлями.,Фрагмент напису.
597 ,"ХLIV, 4","Висота від сучасної підлоги 40 см, відстань від лівого кута 35 см.","На поверхні фрески помітні літери ꙌА. Зважаючи на наявність титла та вибоїну перед першою літерою, текст найвірогідніше реконструювати як запис імені [І]ꙍа(нъ) 'Йоанн'.",Середина ХІ – кінець XІІ ст.; за формою написання а з опуклою петлею та видовженою спинкою.,Пам'ятний напис.
598 ,"ХLIV, 5","Висота від сучасної підлоги 54 см, відстань від лівого кута 33 см.",На фресці виконаний малюнок простого чотириконечного хреста.,Друга чверть ХІ – кінець XVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
599 ,"ХLV, 1","Висота від сучасної підлоги 31 см, відстань від лівого кута 55 см.","На фресці виконані три фігури, які нагадують різні варіанти орнаментів.",Друга чверть ХІ – кінець XVІ ст.; за формою прорізів.,Емблеми.
600 ,"ХLV, 2","Висота від сучасної підлоги 89 см, відстань від лівого кута 31,5 см.",На фресці прокреслена літера Г.,Друга чверть ХІ – кінець XVІ ст.; за формою прорізів.,"Абетки, склади та окремі літери."
600а ,"ХLV, 4","Висота від сучасної підлоги 53 см, відстань від лівого кута 30 см.",На фресці прокреслений простий чотириконечний хрест.,Друга чверть ХІ – кінець XVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми. ІV.4. Графіті на фресці з зображенням св. Анфіма Фреска розташована у південно-східному куті хрещальні. Образ святого іден- тифікується завдяки написам-графіті, що містять ім'я святого – № 499, № 500 та № 568. У нижній частині фреска має сліди ремонту – первісний тиньк ХІ ст. відсутній, а на його місці знаходиться вставка, за своїм складом ідентична фресковому тиньку апсиди ХІІ ст. Вочевидь, під час будівництва апсиди фреска була пошкоджена та від- ремонтована, або майстри відбили тут тиньк, який погано тримався. Графіті виявлені саме на цій, відновленій у ХІІ ст. ділянці стіни, їх тридцять дев'ять, вони отримали номери 481–482, 498–501, 543–575 ("
481 ,"ХLV, 5","Висота від сучасної підлоги 65 см, відстань від лівого кута 36,5 см.",На фресці прокреслений простий чотириконечний хрест.,Друга чверть ХІІ – кінець XVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
482 ,"ХLV, 6","Висота від сучасної підлоги 70,5 см, відстань від лівого кута","На фресці прокреслений квадрат, розділений хрестом на чотири рівні час- тини, в кожній з яких прокреслена крапка.",Друга чверть ХІІ – кінець XVІ ст.; за формою прорізів.,Емблеми.
498 ,"ХLV, 3","Висота від сучасної підлоги 107 см, відстань від лівого кута 25 см.","Незважаючи на пошкодження тиньку, на фресці читається запис особо- вого та родового імен автора: Stanislaw Jagocki 'Станіслав Ягоцький'. Відомостей про автора напису розшукати не вдалося, представники родини, зок- рема, смоленський чашник Казимир Ягоцький, згадуються з кінця XVII ст. (1688 р.)83.",Кінець ХVІ – кінець XVIІ ст.; за формою прорізів та фактом вжи- вання латиниці.,Пам'ятний напис.
499 ,"ХLVI, 1","Висота від сучасної підлоги 94 см, відстань від лівого кута 9 см.","Незважаючи на пошкодження тиньку, на фресці чітко простежується ви- конаний у чотири рядки підпис до фрескового образу – о агос Анмос 'святий Анфім'.",Середина ХІІ – початок XІІІ ст.; за формою написання а звичайного вигляду та дзеркальної.,Підпис до фрескового образу.
500 ,"ХLVI, 2","Висота від сучасної підлоги 87 см, відстань від лівого кута 47 см.",На фресці досить великими літерами виконаний напис: пом-н | ст- | ан | мос З розбивкою на слова та відновленням втрачених фрагментів текст виглядає таким чином Пом[ѧ]ни с(вѧ)ты[и] Анимос. Помяни святий Анфім.,"Друга чверть ХІІ – кінець XV ст.; за формою написання н з діаго- нальною та н з горизонтальною перемичкою, та ы без перемички.",Молитовний напис.
501 ,"ХLVІI, 1","Висота від сучасної підлоги 57 см, відстань від лівого кута 37,5 см.",На фресці прокреслений простий чотириконечний хрест.,Друга чверть ХІІ – кінець XVІ ст.; за формою прорізів.,"Хрести, монограми, теонімограми."
543 ,"ХLVI, 3","Висота від сучасної підлоги 45 см, відстань від лівого кута 35 см.","Початок та закінчення напису не збереглись, простежується тільки се- редня його частина, яка реконструюється як слово-звернення [Гос]под[и] 'Господи'.","Друга чверть ХІІ – кінець XV ст.; за формою написання гостровер- хої д на трикутних ніжках, о з вертикальною стороною замість дуги.",Молитовний напис.
544 ,"ХLVІIІ, 1","Висота від сучасної підлоги 30 см, відстань від лівого кута 64 см.",,"Середина ХІІ – кінець XV ст.; за формою написання е з язичком донизу, и з горизонтальною перемичкою, прямолінійної р з петлею кутом донизу, а також за структурою формули.",Молитовний напис.
