,Датування,B-dating_criteria
6466,Розташування,B-other
6467,Висота,O
6468,від,O
6469,основи,O
6470,216,O
6471,см,O
6472,кальної,O
6473,ц,O
6474,та,O
6475,ы,O
6476,молоточком,O
6477,з,I-object_type
6478,покриттям134,O
6479,вати,O
6480,з,I-object_type
6481,подіями,O
6482,початку,O
6483,XV,O
6484,ст.,O
6485,коли,O
6486,у,I-object_type
6487,Великому,O
6488,князівстві,O
6489,литовському,O
6490,було,O
6491,обрано,O
6492,Датування,B-dating_criteria
6493,Кінець,O
6494,XVI,O
6495,ст.,O
6496,1634,O
6497,р,O
6498,за,O
6499,формою,O
6500,прорізів,O
6501,скорописними,O
6502,фор-,O
6503,на,I-inscription_type
6504,ідентифікацію,O
6505,автора,O
6506,запису,O
6507,найвірогідніше,O
6508,розглядати,O
6509,її,O
6510,як,O
6511,недописане,O
6512,слово,O
6513,Категорія,O
6514,Хрести,O
6515,монограми,O
6516,теонімограми,O
6517,Опис,B-inscription
6518,Поверхня,O
6519,стіни,I-object_type
6520,в,O
6521,місці,O
6522,розташування,O
6523,напису,I-preservation_state
6524,пошкоджена,O
6525,кількома,O
6526,ви-,O
6527,Опис,B-inscription
6528,Ліва,O
6529,частина,I-other
6530,напису,I-preservation_state
6531,не,O
6532,збереглась,O
6533,проте,O
6534,складові,O
6535,правої,O
6536,простежуються,O
6537,Датування,B-dating_criteria
6538,Друга,O
6539,чверть,O
6540,ХІІ,O
6541,кінець,O
6542,XVI,O
6543,ст.,O
6544,за,O
6545,формою,O
6546,прорізів,O
6547,рядка,O
6548,помітна,O
6549,скорописні,O
6550,літери,O
6551,А.,O
6552,Опис,B-inscription
6553,Напис,O
6554,сильно,O
6555,пошкоджений,O
6556,вибоями,O
6557,та,O
6558,затертий,B-preservation_state
6559,тож,O
6560,частина,I-other
6561,його,O
6562,скла-,O
6563,Категорія,O
6564,Молитовний,O
6565,напис,I-inscription_type
6566,поверхні,O
6567,стін,O
6568,нартексу,O
6569,закрита,O
6570,нейтральним,O
6571,тоном,O
6572,Стародавнє,O
6573,мурування,B-object_type
6574,та,O
6575,фреску,O
6576,Датування,B-dating_criteria
6577,Друга,O
6578,чверть,O
6579,ХІ,O
6580,кінець,O
6581,ХІІ,O
6582,ст.,O
6583,за,O
6584,формою,O
6585,написання,O
6586,а,O
6587,з,I-object_type
6588,видов-,O
6589,Публікації,O
6590,С.,O
6591,Висоцький150,O
6592,В.,O
6593,Корнієнко151,O
6594,Опис,B-inscription
6595,На,O
6596,фресці,I-inscription_type
6597,прокреслений,B-decoration
6598,простий,O
6599,шестикінечний,O
6600,хрест,I-decoration
6601,що,O
6602,складається,O
6603,Розташування,B-other
6604,Висота,O
6605,від,O
6606,сучасної,O
6607,підлоги,O
6608,99,O
6609,см,O
6610,відстань,O
6611,від,O
6612,лівого,O
6613,кута,O
6614,65,O
6615,см,O
6616,тами,O
6617,можемо,O
6618,встановити,O
6619,що,O
6620,тут,O
6621,знаходилась,O
6622,традиційна,B-inscription_type
6623,формула,I-inscription_type
6624,Г(оспод)и,O
6625,п[омози,O
6626,другу,O
6627,у,I-object_type
6628,нижньому,O
6629,закінчення,O
6630,верхнього,O
6631,рядка,O
6632,також,O
6633,пошкоджене,O
6634,вибоєм,O
6635,проте,O
6636,Опис,B-inscription
6637,Складові,O
6638,напису,I-preservation_state
6639,пошкоджені,O
6640,вибоями,O
6641,закінчення,O
6642,не,O
6643,збереглось,O
6644,лівого,O
6645,кута,O
6646,стіни,I-object_type
6647,382,O
6648,см,O
6649,ꙍрени,O
6650,гив----ив---,O
6651,Категорія,O
6652,Молитовний,O
6653,напис,I-inscription_type
6654,Опис,B-inscription
6655,Текстова,O
6656,частина,I-other
6657,запису,O
6658,обчислення,I-inscription_type
6659,кількості,I-inscription_type
6660,проведених,O
6661,поминальних,O
6662,Датування,B-dating_criteria
6663,Друга,O
6664,чверть,O
6665,XІІ,O
6666,кінець,O
6667,XV,O
6668,ст.,O
6669,за,O
6670,формою,O
6671,написання,O
6672,и,O
6673,з,I-object_type
6674,гори-,O
6675,---ниг,O
6676,р--,O
6677,Категорія,O
6678,Пам'ятний,O
6679,напис,I-inscription_type
6680,перекладини,O
6681,та,O
6682,символічної,O
6683,таблички,O
6684,над,O
6685,головою,O
6686,Ісуса,O
6687,Христа,O
6688,Основа,O
6689,щогли,I-object_type
6690,спи-,O
6691,Г(оспод)и,O
6692,помози,O
6693,ми,O
6694,аминь,O
6695,Сп(а)си,O
6696,мѧ.,O
6697,виражений,O
6698,слабо,O
6699,порівняно,O
6700,з,I-object_type
6701,давніми,O
6702,пам'ятками,O
6703,у,I-object_type
6704,них,O
6705,відсутні,O
6706,залишки,O
6707,пізнішого,O
6708,Графіті,B-inscription
6709,№,O
6710,590,O
6711,табл,O
6712,ХLII,O
6713,3,O
6714,Категорія,O
6715,Хрести,O
6716,монограми,O
6717,теонімограми,O
6718,таким,O
6719,чином,O
6720,Датування,B-dating_criteria
6721,Кінець,O
6722,ХVI,O
6723,кінець,O
6724,XVII,O
6725,ст.,O
6726,за,O
6727,формою,O
6728,прорізів,O
6729,Категорія,O
6730,Молитовний,O
6731,напис,I-inscription_type
6732,Hyc,O
6733,fuit,O
6734,Albertus,O
6735,Wisensky,O
6736,anno,O
6737,D[om]ini,O
6738,1582,O
6739,н--г,O
6740,шѣ147на,O
6741,овъцесаръст,O
6742,пом,O
6743,зверху,O
6744,Датування,B-dating_criteria
6745,Друга,O
6746,чверть,O
6747,ХІІ,O
6748,кінець,O
6749,XVІ,O
6750,ст.,O
6751,за,O
6752,формою,O
6753,прорізів,O
6754,Опис,B-inscription
6755,На,O
6756,фресці,I-inscription_type
6757,прокреслений,B-decoration
6758,чотириконечний,I-decoration
6759,хрест,I-decoration
6760,праві,O
6761,сторони,O
6762,кінців,O
6763,пе-,O
6764,Графіті,B-inscription
6765,№,O
6766,499,O
6767,табл,O
6768,ХLVI,O
6769,1,O
6770,Опис,B-inscription
6771,На,O
6772,поверхні,O
6773,стіни,I-object_type
6774,простежується,O
6775,простий,O
6776,чотириконечний,I-decoration
6777,хрест,I-decoration
6778,Розташування,B-other
6779,Висота,O
6780,від,O
6781,сучасної,O
6782,підлоги,O
6783,141,O
6784,см,O
6785,відстань,O
6786,від,O
6787,лівого,O
6788,кута,O
6789,Датування,B-dating_criteria
6790,Остання,O
6791,третина,O
6792,XІІ,O
6793,ст.,O
6794,за,O
6795,формою,O
6796,написання,O
6797,б,O
6798,з,I-object_type
6799,високою,O
6800,петлею,O
6801,звернення,I-inscription_type
6802,Г(оспод)и,O
6803,Господи,O
6804,Розташування,B-other
6805,Висота,O
6806,від,O
6807,сучасної,O
6808,підлоги,O
6809,83,O
6810,см,O
6811,відстань,O
6812,від,O
6813,лівого,O
6814,ребра,O
6815,17,O
6816,см,O
6817,формами,O
6818,написання,O
6819,літер,O
6820,Графіті,B-inscription
6821,№,O
6822,40,O
6823,табл,O
6824,LVІІ,O
6825,1,O
6826,Категорія,O
6827,Фрагмент,O
6828,напису,I-preservation_state
6829,Категорія,O
6830,Підпис,O
6831,до,O
6832,фрескового,O
6833,образу,O
6834,Г(оспод)и,O
6835,помо[зи,O
6836,Господи,O
6837,поможи,O
6838,Категорія,O
6839,Абетки,O
6840,склади,O
6841,та,O
6842,окремі,O
6843,літери,O
6844,Розташування,B-other
6845,Висота,O
6846,від,O
6847,сучасної,O
6848,підлоги,O
6849,45,O
6850,см,O
6851,відстань,O
6852,від,O
6853,лівого,O
6854,кута,O
6855,11,O
6856,см,O
6857,Категорія,O
6858,Пам'ятний,O
6859,напис,I-inscription_type
6860,Категорія,O
6861,Хрести,O
6862,монограми,O
6863,теонімограми,O
6864,Графіті,B-inscription
6865,№,O
6866,4286,O
6867,табл,O
6868,ХСVІІ,O
6869,3,O
6870,Датування,B-dating_criteria
6871,Середина,O
6872,ХІІ,O
6873,ст.,O
6874,за,O
6875,формою,O
6876,написання,O
6877,а,O
6878,з,I-object_type
6879,видовженою,O
6880,спинкою,O
6881,--помозм,O
6882,|,O
6883,амнь,O
6884,З,O
6885,відновленням,O
6886,пропущених,O
6887,фрагментів,O
6888,текст,O
6889,виглядає,O
6890,таким,O
6891,чином,O
6892,поруч,O
6893,по,O
6894,обидва,O
6895,боки,O
6896,находяться,O
6897,хвилясті,O
6898,лінії,O
6899,хідної,O
6900,фасадної,O
6901,стіни,I-object_type
6902,Таким,O
6903,чином,O
6904,будуть,O
6905,введені,O
6906,до,O
6907,наукового,O
6908,обігу,O
6909,усі,O
6910,фасадні,O
6911,Господи,O
6912,прости,O
6913,мене,O
6914,Опис,B-inscription
6915,Незважаючи,O
6916,на,I-inscription_type
6917,затертість,O
6918,тиньку,O
6919,та,O
6920,низький,O
6921,рельєф,O
6922,прорізів,O
6923,складові,O
6924,дипінті,I-inscription_type
6925,1,O
6926,на,I-inscription_type
6927,західній,O
6928,стороні,O
6929,північного,O
6930,виступу,I-object_type
6931,стіни,I-object_type
6932,№,O
6933,№,O
6934,4272–4279,O
6935,2,O
6936,на,I-inscription_type
6937,Опис,B-inscription
6938,На,O
6939,поверхні,O
6940,мармурової,O
6941,колони,O
6942,прокреслені,O
6943,літери,O
6944,ИС,O
6945,які,O
6946,вірогідно,O
6947,слід,O
6948,Святі,O
6949,40,O
6950,мучеників,O
6951,поможіть,O
6952,рабу,O
6953,своєму,O
6954,тими,O
6955,петлями,O
6956,в,O
6957,з,I-object_type
6958,верхньою,O
6959,петлею,O
6960,що,O
6961,ширша,O
6962,за,O
6963,нижню,O
6964,р,O
6965,з,I-object_type
6966,петлею,O
6967,що,O
6968,не,O
6969,змика-,O
6970,Категорія,O
6971,Молитовний,O
6972,напис,I-inscription_type
6973,Категорія,O
6974,Емблеми,O
6975,Категорія,O
6976,Хрести,O
6977,монограми,O
6978,теонімограми,O
6979,Категорія,O
6980,Хрести,O
6981,монограми,O
6982,теонімограми,O
6983,вгору,O
6984,спинкою,O
6985,Найвірогідніше,O
6986,реконструювати,O
6987,текст,O
6988,як,O
6989,подвоєний,O
6990,запис,B-inscripiton_type
6991,особового,O
6992,та,O
6993,родо-,O
6994,Особу,O
6995,автора,O
6996,наразі,O
6997,не,O
6998,ідентифіковано,O
6999,ст͠хъм҃мчⷩкъ,O
7000,Категорія,O
7001,Фрагмент,O
7002,напису,I-preservation_state
7003,а,O
7004,в,O
7005,з,I-object_type
7006,переломом,O
7007,при,O
7008,щоглі,O
7009,нахиленої,O
7010,праворуч,O
7011,з,I-object_type
7012,із,O
7013,переломом,O
7014,прямолінійної,O
7015,р,O
7016,з,I-object_type
7017,ок-,O
7018,заломом,O
7019,хвоста,O
7020,нахиленої,O
7021,праворуч,O
7022,е,O
7023,прямолінійної,O
7024,р,O
7025,з,I-object_type
7026,петлею,O
7027,кутом,O
7028,вперед,O
7029,Впадає,O
7030,у,I-object_type
7031,вічі,O
7032,низка,O
7033,допущених,O
7034,автором,O
7035,помилок,O
7036,та,O
7037,пропущених,O
7038,літер,O
7039,що,O
7040,видає,O
7041,Категорія,O
7042,Зооморфні,O
7043,зображення,I-decoration
7044,Графіті,B-inscription
7045,№,O
7046,565,O
7047,табл,O
7048,LІІІ,O
7049,1,O
7050,фресці,I-inscription_type
7051,з,I-object_type
7052,зображенням,I-object_type
7053,орнаменту,O
7054,№,O
7055,4280,O
7056,еꙍдор(ъ,O
7057,Михаилови(чь,O
7058,Датування,B-dating_criteria
7059,Кінець,O
7060,ХVІ,O
7061,початок,O
7062,XVII,O
7063,ст.,O
7064,за,O
7065,формою,O
7066,прорізів,O
7067,та,O
7068,скоропис-,O
7069,Опис,B-inscription
7070,На,O
7071,поверхні,O
7072,стіни,I-object_type
7073,у,I-object_type
7074,стовпчик,O
7075,прокреслені,O
7076,літери,O
7077,NW,O
7078,ліворуч,O
7079,з,I-object_type
7080,із,O
7081,переломом,O
7082,та,O
7083,и,O
7084,з,I-object_type
7085,високою,O
7086,перекладиною,O
7087,По,O
7088,завершенню,O
7089,напису,I-preservation_state
7090,автор,O
7091,виконав,O
7092,праворуч,O
7093,малюнок,B-decoration
7094,шестикінечного,O
7095,Перед,O
7096,початком,O
7097,першого,O
7098,рядка,O
7099,помітні,O
7100,виконані,O
7101,тим,O
7102,же,O
7103,автором,O
7104,літери,O
7105,АD,O
7106,1,O
7107,ється,O
7108,зі,O
7109,щоглою55,O
7110,Опис,B-inscription
7111,На,O
7112,фресці,I-inscription_type
7113,прокреслений,B-decoration
7114,простий,O
7115,чотириконечний,I-decoration
7116,хрест,I-decoration
7117,Опис,B-inscription
7118,На,O
7119,фресці,I-inscription_type
7120,прокреслені,O
7121,літери,O
7122,NW,O
7123,руку,O
7124,недосвідченого,O
7125,писця,O
7126,Помени,O
7127,Г(оспо)ди,O
7128,мꙗ.,O
7129,Категорія,O
7130,Хрести,O
7131,монограми,O
7132,теонімограми,O
7133,Опис,B-inscription
7134,Трирядковий,O
7135,запис,B-inscripiton_type
7136,обчислення,I-inscription_type
7137,кількості,I-inscription_type
7138,проведених,O
7139,поминальних,O
7140,служб,O
7141,краю,O
7142,зондажу,I-other
7143,31,O
7144,см,O
7145,відстань,O
7146,від,O
7147,лівого,O
7148,краю,O
7149,зондажу,I-other
7150,38,O
7151,см,O
7152,він,O
7153,найвірогідніше,O
7154,залишився,O
7155,незавершеним,O
7156,Датування,B-dating_criteria
7157,Кінець,O
7158,XVI,O
7159,кінець,O
7160,XVII,O
7161,ст.,O
7162,за,O
7163,формою,O
7164,прорізів,O
7165,та,O
7166,скорописними,O
7167,Опис,B-inscription
7168,Виконані,O
7169,голкою,O
7170,складові,O
7171,напису,I-preservation_state
7172,сильно,O
7173,затерті,O
7174,та,O
7175,пошкоджені,O
7176,вибоями,O
7177,Вочевидь,O
7178,напис,I-inscription_type
7179,був,O
7180,затертий,B-preservation_state
7181,під,I-object_type
7182,час,O
7183,реставраційних,O
7184,робіт,O
7185,коли,O
7186,з,I-object_type
7187,фрески,I-object_type
7188,зні-,O
7189,лею,O
7190,кутому,O
7191,вгору,O
7192,або,O
7193,кутом,O
7194,вперед,O
7195,ч,O
7196,у,I-object_type
7197,вигляді,O
7198,пласкої,O
7199,чаші,O
7200,ы,O
7201,без,O
7202,перемички,O
7203,ѣ,O
7204,з,I-object_type
7205,Публікації,O
7206,В.,O
7207,Корнієнко118,O
7208,Датування,B-dating_criteria
7209,Кінець,O
7210,ХІV,O
7211,початок,O
7212,XV,O
7213,ст.,O
7214,за,O
7215,формою,O
7216,написання,O
7217,а,O
7218,з,I-object_type
7219,увігнутою,O
7220,Розташування,B-other
7221,Висота,O
7222,від,O
7223,сучасної,O
7224,підлоги,O
7225,78,O
7226,см,O
7227,відстань,O
7228,від,O
7229,лівого,O
7230,кута,O
7231,67	5,O
7232,см,O
7233,Публікації,O
7234,С.,O
7235,Висоцький131,O
7236,В.,O
7237,Корнієнко132,O
7238,ꙗрабъбожи,O
7239,ва--,O
7240,дряпав,O
7241,у,I-object_type
7242,розширеній,O
7243,таким,O
7244,чином,O
7245,Категорія,O
7246,Фрагмент,O
7247,напису,I-preservation_state
7248,Датування,B-dating_criteria
7249,Середина,O
7250,ХІІ,O
7251,початок,O
7252,XІІІ,O
7253,ст.,O
7254,за,O
7255,формою,O
7256,написання,O
7257,а,O
7258,звичайного,O
7259,Графіті,B-inscription
7260,№,O
7261,543,O
7262,табл,O
7263,ХLVI,O
7264,3,O
7265,Розташування,B-other
7266,Висота,O
7267,від,O
7268,сучасної,O
7269,підлоги,O
7270,189,O
7271,см,O
7272,відстань,O
7273,від,O
7274,лівого,O
7275,кута,O
7276,рається,O
7277,на,I-inscription_type
7278,відкриту,O
7279,донизу,O
7280,одноступінчасту,O
7281,Голгофу,O
7282,Вершина,O
7283,кінці,O
7284,перекладини,O
7285,та,O
7286,Розташування,B-other
7287,Висота,O
7288,від,O
7289,сучасної,O
7290,підлоги,O
7291,86,O
7292,см,O
7293,відстань,O
7294,від,O
7295,правого,O
7296,ребра,O
7297,Графіті,B-inscription
7298,№,O
7299,575,O
7300,табл,O
7301,LV,O
7302,2,O
7303,от]ъ,O
7304,м]ѫ[къ,O
7305,огн]ѣныхъ,O
7306,и,O
7307,отъ,O
7308,а]дс[кихъ,O
7309,Вівтар,O
7310,полум'яний,O
7311,а,O
7312,церква,I-monument_subtype
7313,крижана,O
7314,як,O
7315,вівтар,I-monument_subtype
7316,погасне,O
7317,Господній,O
7318,церква,I-monument_subtype
7319,розтане,O
7320,встановити,O
7321,не,O
7322,вдається,O
7323,шилась,O
7324,тільки,O
7325,літера,O
7326,П,O
7327,у,I-object_type
7328,середньому,O
7329,літера,O
7330,Г,O
7331,та,O
7332,на,I-inscription_type
7333,деякій,O
7334,відстані,O
7335,склад,O
7336,МИ,O
7337,у,I-object_type
7338,Датування,B-dating_criteria
7339,Кінець,O
7340,XVI,O
7341,кінець,O
7342,XVII,O
7343,ст.,O
7344,за,O
7345,формою,O
7346,прорізів,O
7347,та,O
7348,скорописними,O
7349,церкоⷡ჻тюжаꙗ,O
7350,літер,O
7351,та,O
7352,формою,O
7353,прорізів,O
7354,ний,O
7355,хрест,I-decoration
7356,овальна,O
7357,фігура,O
7358,що,O
7359,має,O
7360,вигляд,O
7361,підкови,O
7362,формами,O
7363,написання,O
7364,літер,O
7365,Розташування,B-other
7366,Висота,O
7367,від,O
7368,сучасної,O
7369,підлоги,O
7370,71,O
7371,см,O
7372,відстань,O
7373,від,O
7374,правого,O
7375,кута,O
7376,Публікації,O
7377,В.,O
7378,Корнієнко28,O
7379,глядає,O
7380,таким,O
7381,чином,O
7382,літер,O
7383,та,O
7384,формою,O
7385,прорізів,O
7386,Категорія,O
7387,Молитовний,O
7388,напис,I-inscription_type
7389,таким,O
7390,чином,O
7391,Опис,B-inscription
7392,Неподалік,O
7393,від,O
7394,запису,O
7395,№,O
7396,591,O
7397,але,O
7398,на,I-inscription_type
7399,деякій,O
7400,відстані,O
7401,прокреслені,O
7402,скоро-,O
7403,частині,O
7404,нартексу,O
7405,табл,O
7406,ХІ,O
7407,2,O
7408,частково,O
7409,пошкоджена,O
7410,вона,O
7411,має,O
7412,більший,O
7413,діаметр,O
7414,З,O
7415,розбивкою,O
7416,на,I-inscription_type
7417,слова,O
7418,та,O
7419,відновленням,O
7420,втрачених,O
7421,фрагментів,O
7422,текст,O
7423,виглядає,O
7424,Графіті,B-inscription
7425,№,O
7426,516,O
7427,табл,O
7428,LХVIIІ,O
7429,1,O
7430,З,O
7431,розбивкою,O
7432,на,I-inscription_type
7433,слова,O
7434,текст,O
7435,виглядає,O
7436,таким,O
7437,чином,O
7438,Датування,B-dating_criteria
7439,Кінець,O
7440,XV,O
7441,кінець,O
7442,ХVІ,O
7443,ст.,O
7444,за,O
7445,скорописними,O
7446,формами,O
7447,написання,O
7448,Категорія,O
7449,Напис,O
7450,покаяння,O
7451,тільки,O
7452,чотири,O
7453,літери,O
7454,початку,O
7455,рядка,O
7456,ог.,O
7457,трикутників,O
7458,кінцями,O
7459,Датування,B-dating_criteria
7460,Друга,O
7461,чверть,O
7462,ХІ,O
7463,кінець,O
7464,ХV,O
7465,ст.,O
7466,за,O
7467,формою,O
7468,написання,O
7469,а,O
7470,з,I-object_type
7471,петлею,O
7472,Розташування,B-other
7473,Висота,O
7474,від,O
7475,сучасної,O
7476,підлоги,O
7477,75,O
7478,см,O
7479,відстань,O
7480,від,O
7481,лівого,O
7482,ребра,O
7483,71,O
7484,см,O
7485,Графіті,B-inscription
7486,№,O
7487,4253,O
7488,табл,O
7489,ХІІ,O
7490,1,O
7491,Датування,B-dating_criteria
7492,Кінець,O
7493,XVI,O
7494,кінець,O
7495,XVII,O
7496,ст.,O
7497,за,O
7498,формою,O
7499,прорізів,O
7500,Опис,B-inscription
7501,На,O
7502,поверхні,O
7503,колони,O
7504,прокреслений,B-decoration
7505,простий,O
7506,чотириконечний,I-decoration
7507,хрест,I-decoration
7508,Опис,B-inscription
7509,Поверхня,O
7510,стіни,I-object_type
7511,в,O
7512,місці,O
7513,розташування,O
7514,напису,I-preservation_state
7515,пошкоджена,O
7516,вибоями,O
7517,та,O
7518,за-,O
7519,Категорія,O
7520,Хрести,O
7521,монограми,O
7522,теонімограми,O
7523,Датування,B-dating_criteria
7524,Кінець,O
7525,XVI,O
7526,кінець,O
7527,XVII,O
7528,ст.,O
7529,за,O
7530,формою,O
7531,прорізів,O
7532,та,O
7533,скорописними,O
7534,силають,O
7535,глядача,O
7536,до,O
7537,рядків,O
7538,Святого,O
7539,Писання,O
7540,Я,O
7541,Альфа,O
7542,і,O
7543,Омега,O
7544,говорить,O
7545,Господь,O
7546,Категорія,O
7547,Молитовний,O
7548,напис,I-inscription_type
7549,подібний,O
7550,написам,O
7551,що,O
7552,виявлені,O
7553,мною,O
7554,у,I-object_type
7555,приділі,O
7556,архангела,O
7557,Михаїла47,O
7558,Графіті,B-inscription
7559,№,O
7560,471,O
7561,табл,O
7562,ХХХVІІ,O
7563,1,O
7564,Опис,B-inscription
7565,Збереженість,O
7566,напису,I-preservation_state
7567,досить,O
7568,добра,I-inscription_type
7569,всі,O
7570,його,O
7571,складові,O
7572,хоча,O
7573,і,O
7574,виконані,O
7575,до-,O
7576,давнину,O
7577,входу,O
7578,до,O
7579,північної,O
7580,сходової,I-object_type
7581,вежі,I-object_type
7582,Пізніше,O
7583,мною,O
7584,були,O
7585,виявлені,O
7586,ще,O
7587,три,O
7588,графіті,B-inscription_type
7589,бжѩꙁа------------,O
7590,Розташування,B-other
7591,Висота,O
7592,від,O
7593,сучасної,O
7594,підлоги,O
7595,65,O
7596,см,O
7597,відстань,O
7598,від,O
7599,лівого,O
7600,кута,O
7601,36	5,O
7602,см,O
7603,Тут,O
7604,був,O
7605,раб,O
7606,Божий,O
7607,Григор,O
7608,Левонович,O
7609,В,O
7610,цілому,O
7611,сюжет,O
7612,цього,O
7613,малюнка,O
7614,дуже,O
7615,нагадує,O
7616,зображення,I-decoration
7617,архангела,O
7618,Гавриїла,O
7619,в,O
7620,Господи,O
7621,поможи,O
7622,мені,O
7623,амінь,O
7624,шування122,O
7625,Опис,B-inscription
7626,На,O
7627,фресці,I-inscription_type
7628,прокреслена,O
7629,літера,O
7630,А.,O
7631,ідентифікується,O
7632,не,O
7633,зовсім,O
7634,впевнено,O
7635,Розташування,B-other
7636,Висота,O
7637,від,O
7638,сучасної,O
7639,підлоги,O
7640,107,O
7641,см,O
7642,відстань,O
7643,від,O
7644,лівого,O
7645,кута,O
7646,25,O
7647,см,O
7648,гляд,O
7649,видається,O
7650,ніби,O
7651,його,O
7652,складові,O
7653,виконані,O
7654,різними,O
7655,авторами,O
7656,Проте,O
7657,форма,O
7658,прорізів,O
7659,формами,O
7660,написання,O
7661,літер,O
7662,Графіті,B-inscription
7663,№,O
7664,4341,O
7665,табл,O
7666,СХІІ,O
7667,3,O
7668,С(вѧ)ти,O
7669,м,O
7670,м(оу)чн(и)[къ,O
7671,молите,O
7672,Б(ог)а,O
7673,за,O
7674,мѧ,O
7675,гр,O
7676,р/[ѣшъ]аго,O
7677,Публікації,O
7678,С.,O
7679,Висоцький135,O
7680,текст,O
7681,коригували,O
7682,В.,O
7683,Німчук136,O
7684,та,O
7685,А.,O
7686,Залізняк137,O
7687,Опис,B-inscription
7688,Збереженість,O
7689,напису,I-preservation_state
7690,доволі,O
7691,добра,I-inscription_type
7692,його,O
7693,складові,O
7694,чітко,O
7695,читаються,O
7696,вище,O
7697,напис,I-inscription_type
7698,табл,O
7699,І,O
7700,Висота,O
7701,від,O
7702,рівня,O
7703,ґрунту,O
7704,129,O
7705,см,O
7706,відстань,O
7707,від,O
7708,лівого,O
7709,кута,O
7710,стіни,I-object_type
7711,30,O
7712,см,O
7713,В.,O
7714,Німчук,O
7715,вбачав,O
7716,у,I-object_type
7717,цьому,O
7718,написі,O
7719,силабічний,O
7720,вірш61,O
7721,Зважаючи,O
7722,на,I-inscription_type
7723,ритмічну,O
7724,ор-,O
7725,було,O
7726,нанесено,O
7727,під,I-object_type
7728,час,O
7729,виконання,O
7730,оздоблювальних,O
7731,робіт,O
7732,у,I-object_type
7733,хрещальні,I-object_type
7734,коли,O
7735,тут,O
7736,стояло,O
7737,Господи,O
7738,поможи,O
7739,рабу,O
7740,своєму,O
7741,Гаврилові,O
7742,Опис,B-inscription
7743,На,O
7744,фресці,I-inscription_type
7745,прокреслений,B-decoration
7746,малюнок,B-decoration
7747,хижого,O
7748,птаха,O
7749,орла,O
7750,або,O
7751,чайки,O
7752,-помоꙁраба,O
7753,|,O
7754,--оеголазара,O
7755,та,O
7756,виступом,O
7757,зверху,O
7758,д,O
7759,з,I-object_type
7760,довгими,O
7761,ніжками,O
7762,м,O
7763,з,I-object_type
7764,провисаючою,O
7765,петлею,O
7766,та,O
7767,нахиленими,O
7768,Датування,B-dating_criteria
7769,Середина,O
7770,XІІ,O
7771,початок,O
7772,ХІІІ,O
7773,ст.,O
7774,за,O
7775,формою,O
7776,написання,O
7777,а,O
7778,з,I-object_type
7779,видов-,O
7780,Графіті,B-inscription
7781,№,O
7782,584,O
7783,табл,O
7784,ХLI,O
7785,1,O
7786,-------ꙍ--п--------ꙗ-----,O
7787,формами,O
7788,написання,O
7789,літер,O
7790,Графіті,B-inscription
7791,№,O
7792,711,O
7793,табл,O
7794,LХХХІХ,O
7795,2,O
7796,стіні,I-object_type
7797,цього,O
7798,тексту,O
7799,автор,O
7800,графіті,B-inscription_type
7801,№,O
7802,42,O
7803,змушений,O
7804,був,O
7805,зсунути,O
7806,рядки,O
7807,праворуч,O
7808,Опис,B-inscription
7809,Ліва,O
7810,частина,I-other
7811,напису,I-preservation_state
7812,знищена,O
7813,обвалом,O
7814,тиньку,O
7815,проте,O
7816,наявні,O
7817,складові,O
7818,Категорія,O
7819,Молитовний,O
7820,напис,I-inscription_type
7821,Опис,B-inscription
7822,Права,O
7823,частина,I-other
7824,напису,I-preservation_state
7825,знищена,O
7826,обвалом,O
7827,тиньку,O
7828,гпомаꙁрабоу,O
7829,|,O
7830,своемоупавъ,O
7831,|,O
7832,лоу,O
7833,ІІ.3,O
7834,Графіті,B-inscription
7835,на,I-inscription_type
7836,внутрішній,O
7837,стороні,O
7838,аркбутана,O
7839,Датування,B-dating_criteria
7840,Друга,O
7841,чверть,O
7842,ХІ,O
7843,середина,O
7844,ХІІ,O
7845,ст.,O
7846,за,O
7847,формою,O
7848,написання,O
7849,б,O
7850,та,O
7851,в,O
7852,з,I-object_type
7853,Опис,B-inscription
7854,Права,O
7855,частина,I-other
7856,напису,I-preservation_state
7857,знищена,O
7858,обвалом,O
7859,тиньку,O
7860,північної,O
7861,сходової,I-object_type
7862,вежі,I-object_type
7863,храму,I-object_type
7864,та,O
7865,праворуч,O
7866,на,I-inscription_type
7867,виступі,O
7868,стіні,I-object_type
7869,біля,O
7870,ніші,O
7871,з,I-object_type
7872,малюнком,O
7873,про-,O
7874,Пом'яни,O
7875,мене,O
7876,ерозії,O
7877,прорізів,O
7878,а,O
7879,також,O
7880,палеографія,B-dating_criteria
7881,вказує,O
7882,що,O
7883,невдовзі,O
7884,після,O
7885,нанесення,O
7886,напису,I-preservation_state
7887,колона,I-object_type
7888,таким,O
7889,чином,O
7890,туру,O
7891,фрескового,O
7892,тиньку,O
7893,ХІІ,O
7894,ст.,O
7895,прорізи,O
7896,дуже,O
7897,руйнуються,O
7898,що,O
7899,перешкоджає,O
7900,Графіті,B-inscription
7901,№,O
7902,492,O
7903,табл,O
7904,ХХІ,O
7905,3,O
7906,тому,O
7907,достеменно,O
7908,визначити,O
7909,з,I-object_type
7910,якої,O
7911,із,O
7912,них,O
7913,походив,O
7914,автор,O
7915,напису,I-preservation_state
7916,з,I-object_type
7917,таким,O
7918,поширеним,O
